age,gender,country,state,education,income,occupation,marital_status,has_children,favorite_color
25,Male,India,Guwahati,Bachelor's,60000,Software Engineer,Single,No,Blue
32,Female,Canada,Ontario,Master's,75000,Data Scientist,Married,Yes,Green
45,Male,UK,England,PhD,90000,Professor,Married,Yes,Red
28,Female,Australia,Victoria,Bachelor's,55000,Marketing Analyst,Single,No,Purple
51,Male,Germany,Bavaria,Master's,80000,Business Analyst,Married,Yes,Yellow
39,Female,UK,Ile-de-France,PhD,100000,Researcher,Married,Yes,Orange
22,Male,Japan,Tokyo,High School,40000,Sales Associate,Single,No,Pink
60,Female,Canada,Sao Paulo,Bachelor's,65000,Teacher,Married,Yes,Gray
31,Male,India,Maharashtra,Master's,70000,Project Manager,Single,No,Brown
48,Female,Japan,Jalisco,PhD,95000,Doctor,Married,Yes,Cyan
27,Male,India,Lombardy,Bachelor's,58000,Web Developer,Single,No,Magenta
35,Female,Germany,Andalusia,Master's,82000,Accountant,Married,Yes,Lime
54,Male,Japan,North Holland,PhD,105000,Architect,Married,Yes,Teal
29,Female,UK,Stockholm,Bachelor's,53000,HR Specialist,Single,No,Navy
42,Male,Canada,Zurich,Master's,88000,Financial Analyst,Married,Yes,Olive
37,Female,India,Oslo,PhD,98000,Lawyer,Married,Yes,Maroon
